asn;country
1;US
15169;US
2;US
3;US
10429;BR
20632;RU
24445;CN
4;US
8;US
9;US
12;US
14;US
17;US
18;US
36351;US
25;US
26;US
45090;CN
27;US
30;US
136907;SG
31;US
32;US
34;US
42;US
46;US
47;US
17813;IN
52;US
59;US
62;US
68;US
38186;HK
71;US
4766;KR
63949;US
72;US
4538;CN
12389;RU
73;US
74;CA
46606;US
81;US
4837;CN
36881;AO
133676;IN
87;US
9121;TR
92;US
103;US
109;US
3462;TW
111;US
25264;IR
116;US
125;US
130;US
131;US
137;IT
36692;US
156;US
158;US
3758;SG
159;US
160;US
174;US
209;US
4134;CN
7552;VN
7713;ID
8708;RO
8866;BG
9498;IN
12025;US
12430;ES
13285;GB
13335;US
22884;MX
29314;PL
30873;YE
34456;RU
40676;US
45935;VU
136334;IN
188;US
45650;NP
195;US
203;US
205;US
5617;PL
7922;US
22773;US
30221;US
136052;ID
268982;BR
210;US
7303;AR
217;US
224;NO
58224;IR
225;US
226;US
231;US
237;US
239;CA
243;US
267;US
270;US
50274;AZ
271;CA
278;MX
291;US
299;US
10796;US
54600;US
375;FI
376;CA
48347;RU
378;IL
11492;US
61478;TT
542;CA
553;DE
24444;CN
557;US
559;CH
577;CA
5769;CA
8151;MX
13911;CA
36903;MA
36994;ZA
600;US
4808;CN
603;CA
611;CA
637;US
8905;RU
136800;HK
647;US
25660;US
675;US
680;DE
9304;HK
37671;TN
42926;TR
53365;CA
397223;US
687;US
30764;CZ
693;US
701;US
3549;US
5410;FR
7633;IN
8075;US
9562;TH
9808;CN
11776;US
12271;US
16276;FR
44395;AM
56041;CN
56046;CN
60624;PL
134420;CN
265898;BR
702;US
5466;IE
9318;KR
28573;BR
134773;CN
703;US
714;US
4540;CA
16735;BR
715;US
719;FI
721;US
1136;NL
3269;IT
4713;JP
4812;CN
6057;UY
8749;RU
17557;PK
20811;IT
45769;IN
52583;BR
53090;BR
54290;US
56067;TH
63888;HK
134810;CN
206065;IR
263742;AR
766;ES
6739;ES
