asn;country
17506;Japan
17864;South Korea
2519;Australia
18310;South Korea
17853;South Korea
213241;Belgium
2527;Australia
2510;Australia
48725;Russian Federation
2516;Australia
2514;Australia
2518;Australia
271254;Brazil
269042;Brazil
31554;Romania
51624;Russian Federation
9943;South Korea
5433;Russian Federation
26621;Argentina
52899;Brazil
205085;Bulgaria
266802;Ecuador
10013;Japan
269920;Venezuela
17676;Japan
48470;Russian Federation
49724;Russian Federation
49810;Russian Federation
9605;Japan
24863;Egypt
57613;Poland
51622;Ukraine
52511;Chile
17858;South Korea
199138;Poland
201997;Slovakia
4657;Singapore
6713;Morocco
9647;South Korea
49125;Ukraine
27997;Argentina
27747;Argentina
52361;Argentina
262186;Colombia
264097;Brazil
131160;Japan
28201;Brazil
263181;Argentina
266256;Brazil
267261;Brazil
201039;Ukraine
24691;Togo
43235;Russian Federation
267432;Brazil
268244;Brazil
269362;Brazil
51390;Poland
198371;Serbia
50025;Czech Republic
42295;Bulgaria
10036;South Korea
57888;Croatia
42775;Russian Federation
9848;South Korea
17839;South Korea
38091;South Korea
23563;South Korea
9644;South Korea
9845;South Korea
265524;Mexico
10164;South Korea
30982;Togo
17931;Japan
28438;Mexico
15399;Kenya
265583;Mexico
16135;Turkey
196792;Poland
203980;Ukraine
38684;South Korea
28110;Costa Rica
57971;Russian Federation
197831;Russian Federation
48233;Bulgaria
198083;Russian Federation
31083;Bulgaria
207429;Turkey
2497;Japan
61139;Romania
28146;Brazil
266087;Brazil
8452;Egypt
9756;South Korea
17511;Japan
197496;Poland
27699;Brazil
53084;Brazil
262907;Brazil
9694;South Korea
18126;Japan
52468;Panama
270029;Paraguay
28005;Panama
263795;Panama
262191;Colombia
57926;European Union
56975;Russian Federation
48940;Russian Federation
1273;European Union
27947;Ecuador
262643;Brazil
264668;Ecuador
269479;Brazil
262306;Brazil
53158;Brazil
265550;Mexico
28387;Mexico
28419;Mexico
9177;Russian Federation
209592;Russian Federation
51011;Russian Federation
44416;Ukraine
198881;Poland
28698;South Africa
210135;Russian Federation
50776;Russian Federation
51290;Poland
57643;Poland
39297;Ukraine
61367;Kazakhstan
12455;Kenya
29571;Cote d'Ivoire
29465;Nigeria
16284;Nigeria
9781;South Korea
61092;South Africa
35530;Ukraine
50928;Russian Federation
42881;Moldova
48479;Russian Federation
50304;Norway
44901;Bulgaria
42352;Ukraine
203374;Iraq
50340;Russian Federation
50581;Ukraine
51561;United Kingdom
212974;Slovakia
49743;Poland
42841;Slovakia
39369;Sweden
39651;Sweden
44869;Denmark
59702;Sweden
197288;Denmark
39067;Lithuania
20934;Ukraine
51615;Slovenia
205500;Russian Federation
210093;Russian Federation
56957;Russian Federation
198668;Czech Republic
200848;Czech Republic
51289;Russian Federation
17608;South Korea
60330;Belarus
51669;Russian Federation
51819;Russian Federation
41967;Ukraine
39737;Romania
201986;Armenia
42145;Russian Federation
48371;Russian Federation
59574;Russian Federation
41019;Bulgaria
49800;Armenia
56484;Iraq
210162;Iraq
47474;United Kingdom
43443;Romania
43668;Ukraine
34019;France
56466;Iran
24638;Russian Federation
41828;Slovenia
42753;Russian Federation
263009;Brazil
28283;Brazil
262462;Brazil
28642;Brazil
52657;Brazil
52687;Brazil
49434;France
9976;South Korea
17857;South Korea
18290;Japan
43350;Netherlands
204903;Italy
47441;United States
57207;Serbia
49063;Russian Federation
50186;Bulgaria
35067;Ukraine
202391;Iran
34241;Russian Federation
50780;Ukraine
59442;Iran
57474;Iran
45040;Netherlands
44624;Latvia
263993;Brazil
61693;Brazil
50772;Ukraine
59103;Japan
41820;Ukraine
131927;Japan
198517;Poland
199995;Ukraine
56391;Poland
39392;Czech Republic
201925;Poland
57630;Sweden
24812;Ukraine
41034;Russian Federation
44628;Ukraine
199930;Spain
207786;Iraq
56534;Russian Federation
48781;Russian Federation
205800;Iraq
212280;Iraq
49524;Italy
51918;United Kingdom
212493;Ireland
50509;Russian Federation
60695;Poland
203459;Iraq
201749;Iraq
60587;Austria
49115;Slovakia
44600;Ukraine
204274;Denmark
207097;Iraq
49808;Austria
211698;Iraq
42512;Ukraine
271319;Brazil
28186;Brazil
262696;Brazil
52893;Brazil
269311;Brazil
52720;Brazil
28142;Brazil
53181;Brazil
265076;Brazil
262195;Argentina
28007;Venezuela
262248;Panama
28260;Brazil
267548;Brazil
53062;Brazil
266497;Brazil
269974;Venezuela
263527;Brazil
52532;Brazil
264246;Brazil
270126;Mexico
28048;Argentina
262202;Costa Rica
52373;Argentina
264556;Brazil
266181;Brazil
263276;Brazil
265022;Brazil
61689;Brazil
53094;Brazil
263432;Brazil
61878;Brazil
264619;Argentina
269733;Chile
52872;Brazil
263500;Brazil
52564;Brazil
27720;Brazil
262983;Brazil
265080;Brazil
269832;Venezuela
267904;Peru
269894;Peru
53144;Brazil
270358;Brazil
28580;Brazil
266160;Brazil
53180;Brazil
27729;Honduras
269864;Panama
269918;Venezuela
52320;Colombia
263218;Guatemala
27884;Honduras
27951;Colombia
265989;Brazil
266129;Brazil
52967;Brazil
265061;Brazil
266492;Brazil
270709;Brazil
266643;Brazil
27843;Peru
10054;South Korea
