asn;country
269160;Brazil
271566;Brazil
63872;Indonesia
264740;Argentina
265131;Brazil
138393;China
269287;Brazil
271547;Brazil
395367;United States
270792;Brazil
140712;Bangladesh
269682;Brazil
202339;Italy
269117;Brazil
264219;Brazil
271130;Brazil
271548;Brazil
142016;Bangladesh
138431;Bangladesh
269952;Argentina
271026;Brazil
271423;Brazil
269667;Brazil
267174;Brazil
271332;Brazil
64439;Russian Federation
262937;Brazil
271394;Brazil
269380;Brazil
270464;Brazil
141799;India
394743;Puerto Rico
270458;Brazil
269468;Brazil
265549;Mexico
268728;Brazil
141523;India
265154;Brazil
138275;India
270454;Brazil
266337;Brazil
267209;Brazil
139680;Bangladesh
262648;Brazil
141083;Indonesia
264375;Brazil
267423;Brazil
270376;Brazil
267669;Brazil
61674;Brazil
39335;United Kingdom
136317;India
269441;Brazil
270895;Brazil
268340;Brazil
2905;South Africa
270599;Brazil
267109;Brazil
3399;Sweden
265323;Brazil
137935;Bangladesh
134750;Bangladesh
269120;Brazil
265245;Brazil
269219;Brazil
266938;Brazil
270597;Brazil
200889;Poland
270579;Brazil
270331;Brazil
136137;Myanmar
64316;Indonesia
269654;Brazil
53173;Brazil
140084;Bangladesh
139236;Bangladesh
270626;Brazil
269609;Brazil
267055;Brazil
39862;Ukraine
137114;India
264298;Brazil
266496;Brazil
268966;Brazil
269108;Brazil
268384;Brazil
202987;Lebanon
271515;Brazil
268417;Brazil
53594;Canada
64242;United States
64413;Iran
271571;Brazil
266376;Brazil
396316;Canada
139202;Bangladesh
209014;Germany
211322;Georgia
271169;Brazil
211496;Turkey
269850;Colombia
137185;Hong Kong
138766;India
52828;Brazil
12165;United States
265980;Brazil
265638;Argentina
267342;Brazil
264335;Brazil
131736;Indonesia
211279;Moldova
22634;Canada
265962;Brazil
54841;Canada
4265;United States
5522;Lithuania
58834;China
211459;Indonesia
266145;Brazil
328698;South Africa
271290;Brazil
267475;Brazil
64300;Indonesia
265408;Brazil
42925;Israel
263608;Brazil
267631;Brazil
270632;Brazil
269293;Brazil
270065;Chile
23235;United States
4851;Australia
58401;Indonesia
64315;Indonesia
267196;Brazil
270036;Guatemala
328529;South Africa
137804;China
267609;Brazil
10846;United States
201654;Czech Republic
203817;Finland
212829;Turkey
268512;Brazil
263908;Brazil
137186;Bangladesh
268138;Brazil
9449;Australia
28435;Mexico
141818;India
211854;United Kingdom
142058;Bangladesh
262634;Brazil
263634;Brazil
328515;Chad
141331;India
42201;Sweden
268036;Brazil
60076;Spain
211625;Russian Federation
271117;Brazil
196682;Ukraine
328443;Congo
270633;Brazil
138925;Bangladesh
140181;India
44717;Spain
265257;Brazil
137688;China
270551;Brazil
266091;Brazil
328323;South Africa
263926;Brazil
263086;Brazil
142002;Singapore
140288;Bangladesh
136197;China
271327;Brazil
399194;Canada
131202;New Zealand
268601;Brazil
268682;Brazil
141093;Indonesia
47380;Spain
14442;Canada
270343;Brazil
263921;Brazil
271011;Brazil
14315;United States
212533;Bulgaria
269282;Brazil
31559;Czech Republic
27370;United States
39371;Netherlands
267462;Brazil
270843;Brazil
265788;Honduras
269519;Brazil
398249;United States
397320;Canada
30040;United States
55972;China
265036;Brazil
3266;Lithuania
141216;Myanmar
266466;Brazil
263433;Brazil
141917;Indonesia
55997;China
267122;Brazil
45304;Indonesia
269112;Brazil
19957;United States
139553;India
198270;Spain
270803;Brazil
209034;Spain
53115;Brazil
13454;United States
135258;India
271121;Brazil
269740;Guatemala
213038;Israel
135777;India
142150;Pakistan
265066;Brazil
138787;India
44564;Bulgaria
5;United States
264346;Brazil
263264;Brazil
132167;Myanmar
64446;Germany
211580;Spain
137826;Myanmar
141414;Bangladesh
328733;Libya
1483;United States
136339;India
22825;United States
41834;Ukraine
27971;Argentina
269910;Argentina
7628;Australia
61799;Brazil
268714;Brazil
48459;Romania
327893;South Africa
267252;Brazil
134990;Bangladesh
268645;Brazil
328781;Kenya
270544;Brazil
51420;Czech Republic
266919;Brazil
266524;Brazil
64428;Iran
265538;Mexico
136854;Indonesia
266597;Brazil
8234;Italy
271779;Argentina
198019;Kuwait
140843;Bangladesh
35524;Ukraine
141033;Bangladesh
137975;Afghanistan
62640;United States
139697;Afghanistan
211385;Albania
62968;United States
58757;Philippines
266088;Brazil
64433;Russian Federation
268350;Brazil
6406;United States
141780;Thailand
268712;Brazil
14136;United States
134774;China
61570;Brazil
50596;Russian Federation
267989;Brazil
267026;Brazil
58963;India
271265;Brazil
262952;Brazil
269724;Brazil
17612;South Korea
140229;Bangladesh
270736;Brazil
267559;Brazil
138768;India
61845;Brazil
27323;United States
51923;Netherlands
328361;South Africa
207629;Turkey
327783;South Africa
212441;Russian Federation
269676;Brazil
264247;Brazil
36043;United States
199857;Poland
271223;Brazil
20571;Finland
61503;Chile
48281;Iran
399489;United States
268709;Brazil
396982;United States
262218;Panama
43180;Ukraine
267234;Brazil
61939;Brazil
208717;Netherlands
28858;Ukraine
204748;Spain
20830;Germany
30355;Canada
137861;Myanmar
209934;Austria
141912;Indonesia
16761;United States
58682;Bangladesh
328699;Mauritius
209201;Poland
8069;United States
138685;Thailand
55132;United States
47266;Ukraine
1224;United States
212889;Saudi Arabia
328820;South Africa
267331;Brazil
328203;Nigeria
397198;United States
141654;Indonesia
265421;Brazil
30335;United States
56120;Thailand
397540;Canada
139447;Indonesia
18315;South Korea
24994;Italy
328199;South Africa
206518;Poland
56749;Iran
399613;United States
209007;Turkey
205728;Austria
64490;Ukraine
55354;Australia
140143;India
10362;Brazil
8775;Russian Federation
138263;India
263284;Brazil
208591;Spain
209023;Spain
64302;Indonesia
270106;Argentina
38969;Russian Federation
60783;Italy
24404;China
42154;Poland
267875;Argentina
132608;Bangladesh
267983;Brazil
267772;Argentina
262394;Brazil
262962;Brazil
266139;Brazil
263373;Brazil
212238;United Kingdom
132647;Indonesia
268362;Brazil
141540;India
45186;Australia
28144;Brazil
268253;Brazil
394019;United States
270555;Brazil
212520;Germany
22159;United States
271369;Brazil
203351;Netherlands
268022;Brazil
137245;Bangladesh
270026;Venezuela
1635;United States
138849;Indonesia
199517;Poland
212313;France
264300;Brazil
202181;Russian Federation
206791;Ukraine
52838;Brazil
268276;Brazil
263526;Brazil
131378;Viet Nam
264130;Brazil
206393;Sweden
21739;South Africa
26812;United States
48719;Russian Federation
47395;Russian Federation
268814;Brazil
271065;Brazil
265892;Brazil
28198;Brazil
57902;France
200729;Azerbaijan
52238;Ecuador
63695;China
64472;Portugal
29884;United States
133107;Hong Kong
26088;United States
208167;Ukraine
269472;Brazil
209482;Moldova
61147;Netherlands
270818;Brazil
269027;Brazil
51224;Germany
141334;India
267319;Brazil
205647;Iran
141302;India
140435;Indonesia
266060;Brazil
34387;Finland
270428;Brazil
61163;Ukraine
394597;United States
21263;Germany
269901;Venezuela
32491;Canada
269542;Brazil
47984;Ukraine
264675;Argentina
267349;Brazil
211467;Turkey
328542;Congo
327918;Angola
35168;Kazakhstan
207734;United Kingdom
211390;Russian Federation
263339;Brazil
15191;United States
62685;United States
141001;Hong Kong
141077;Indonesia
198126;France
397893;United States
141723;Bangladesh
46657;United States
14903;United States
7125;Mexico
35356;Malta
267077;Brazil
207821;Sweden
46246;United States
63951;Thailand
59008;China
207715;Italy
213328;Azerbaijan
140878;Philippines
263038;Brazil
141149;Bangladesh
27411;United States
37094;Liberia
264374;Brazil
22265;United States
47589;Kuwait
64419;Russian Federation
59591;Russian Federation
37584;South Sudan
211327;Turkey
263233;Argentina
64297;Indonesia
142006;Bangladesh
205833;Iran
64444;France
61744;Brazil
209316;Poland
266684;Argentina
203020;India
141266;India
205766;Germany
136362;India
268440;Brazil
43950;United Kingdom
53118;Brazil
23820;Japan
33294;United States
269928;Venezuela
266287;Brazil
268035;Brazil
1290;European Union
211443;Russian Federation
207610;France
198694;Netherlands
8263;Russian Federation
64008;Philippines
207640;Georgia
269328;Brazil
266779;Chile
62383;Belgium
42433;Netherlands
271904;Venezuela
141924;Indonesia
328771;Congo
328416;Mali
271082;Brazil
141929;Indonesia
270538;Brazil
21274;Belarus
262905;Brazil
42014;Ukraine
18884;United States
10191;South Korea
267615;Brazil
263870;Brazil
53197;Brazil
132304;Hong Kong
212030;Russian Federation
138124;Indonesia
266236;Brazil
397472;United States
271880;Venezuela
523;United States
38726;Viet Nam
271279;Brazil
35707;United Kingdom
209466;Turkey
267175;Brazil
211554;Spain
268401;Brazil
263029;Brazil
3402;United States
196845;Czech Republic
48;United States
136563;Bangladesh
140608;Pakistan
10961;United States
140075;Thailand
18330;South Korea
269134;Brazil
269180;Brazil
270893;Brazil
264229;Brazil
52635;Brazil
205270;Spain
262579;Brazil
137542;Bangladesh
55391;Japan
269046;Brazil
134335;India
262714;Brazil
62449;Hungary
265139;Brazil
28606;Brazil
211491;Iran
141783;India
270031;Colombia
63862;Indonesia
141376;United States
267321;Brazil
4641;Hong Kong
137241;Thailand
200324;Iran
139651;Afghanistan
136194;China
30162;United States
50131;United Kingdom
268957;Brazil
267542;Brazil
27021;United States
266934;Brazil
269957;Argentina
270473;Brazil
137632;India
399045;United States
263946;Brazil
45058;China
64267;United States
264542;Brazil
395777;United States
11612;United States
270826;Brazil
269032;Brazil
208449;Italy
44645;Germany
51433;Iran
265484;Brazil
33651;United States
270637;Brazil
266083;Brazil
40438;Canada
41079;Poland
267893;Colombia
262397;Brazil
51792;Poland
270767;Brazil
52302;Panama
197310;Poland
140659;Cambodia
138407;China
266070;Brazil
200437;Poland
267636;Brazil
264571;Brazil
28475;Mexico
42533;Ukraine
212766;Albania
137180;India
203895;Iran
40647;United States
28440;Mexico
64021;Hong Kong
271284;Brazil
137629;India
132986;India
30039;United States
263360;Brazil
63852;Myanmar
22809;United States
61787;Brazil
205836;Spain
28785;Poland
399244;United States
17237;United States
61751;Brazil
394344;United States
199787;Poland
213186;Netherlands
7961;United States
23694;Indonesia
10662;United States
267787;Ecuador
48391;Iran
268268;Brazil
52594;Brazil
26810;United States
55446;India
328777;South Africa
268773;Brazil
207304;Iraq
51495;Turkmenistan
14153;United States
7063;Brazil
47335;Russian Federation
64261;United States
37571;Congo
395924;United States
266556;Brazil
59355;Afghanistan
17739;China
52721;Brazil
134505;Bangladesh
50858;France
212523;Poland
141159;Hong Kong
207236;Hungary
37460;Central African Republic
43108;United Kingdom
141612;Indonesia
64236;United States
268166;Brazil
271215;Brazil
60941;Netherlands
394737;United States
204810;Spain
47202;Portugal
399439;United States
268994;Brazil
29998;United States
10405;United States
133196;Australia
139071;Myanmar
263965;Brazil
134518;Hong Kong
6932;United States
42871;Austria
395658;United States
262444;Brazil
201041;Ukraine
35614;Ukraine
205537;Spain
138684;Myanmar
270549;Brazil
267443;Brazil
41054;Saudi Arabia
271069;Brazil
263799;Suriname
134201;Bangladesh
42894;Netherlands
138363;Australia
142056;Philippines
396965;United States
35705;Netherlands
39485;Ireland
141595;Indonesia
211528;Poland
1477;United States
265836;Argentina
61759;Brazil
53633;United States
62701;United States
266096;Brazil
50984;Romania
52570;Brazil
202454;United Kingdom
27602;United States
31763;United States
135249;India
213094;United Kingdom
265794;Peru
263192;Paraguay
33353;United States
202543;Bulgaria
202796;Netherlands
211413;Iraq
23031;Ecuador
211641;Russian Federation
268140;Brazil
267988;Brazil
19990;Brazil
270991;Brazil
140716;China
264163;Brazil
132602;Bangladesh
268024;Brazil
53830;United States
53974;United States
64477;Poland
61928;Brazil
58305;United Kingdom
52680;Brazil
1472;United States
134147;Australia
266986;Brazil
271898;Dominican Republic
203038;Sweden
56131;Australia
267384;Brazil
22363;United States
266920;Brazil
141660;Indonesia
14976;United States
64420;Italy
138069;Indonesia
60456;France
47389;Ukraine
38030;Bangladesh
211637;Russian Federation
9575;South Korea
61403;Russian Federation
61985;Russian Federation
137313;Indonesia
208939;Spain
55664;Indonesia
266641;Brazil
138665;Bangladesh
4604;United States
53076;Brazil
137335;Indonesia
397756;United States
262692;Brazil
37010;Rwanda
8762;Greece
21143;Russian Federation
9810;China
270701;Brazil
208014;France
56786;Italy
141626;Indonesia
136315;India
37477;Mozambique
53752;United States
63782;Japan
136672;India
266665;Costa Rica
140770;Viet Nam
27981;Argentina
141146;Indonesia
28273;Brazil
327997;Kenya
269998;Chile
38985;Russian Federation
264223;Brazil
206066;Russian Federation
265162;Brazil
203212;Spain
209442;Albania
268999;Brazil
36456;United States
140954;Bangladesh
59674;Turkey
269387;Brazil
31642;Sweden
59414;Switzerland
62818;United States
137703;Bangladesh
28262;Brazil
61049;United Kingdom
27232;Canada
139595;Myanmar
132581;Australia
134416;Philippines
137116;India
135227;India
264533;Brazil
59632;Romania
328121;Cote d'Ivoire
64488;Slovakia
44627;Russian Federation
26925;United States
21603;Mexico
52454;Guatemala
1301;France
266811;Panama
269439;Brazil
41696;Netherlands
52777;Brazil
50910;United Kingdom
16508;United States
60705;Poland
142060;Bangladesh
209604;Turkey
55257;United States
23852;China
395677;Canada
59562;Norway
52700;Brazil
328842;Ghana
25619;United States
41841;Poland
132991;India
11155;United States
48953;Turkey
27027;United States
30064;United States
206100;United States
47799;Ukraine
41388;Russian Federation
33629;United States
267779;Argentina
267522;Brazil
132153;China
58952;Myanmar
17720;Australia
138262;India
267284;Brazil
270704;Brazil
26971;United States
266105;Brazil
17668;Australia
265702;Argentina
265995;Brazil
64227;United States
270088;Colombia
40764;United States
212999;Kazakhstan
36231;United States
52797;Brazil
394167;United States
135030;Bangladesh
59961;Iran
328544;South Africa
203667;Poland
50757;Romania
64298;Indonesia
131950;Japan
266679;Ecuador
267386;Brazil
395471;Puerto Rico
21226;Russian Federation
